instance,topic,distribution
1807-0,36,0.08171387073347862
1808-0,36,0.031050759780148745
1809-0,36,0.045668093200190246
1810-0,36,0.15869594145043253
1811-0,36,0.036652298850574735
1812-0,36,0.05203774547309363
1813-0,36,0.0489927153981412
1814-0,36,1.4964459408903866E-5
1815-0,36,0.01515013878374969
1816-0,36,9.620009620009626E-6
1817-0,36,0.0029012345679012364
1818-0,36,7.66283524904215E-6
1819-0,36,0.10412769116555312
1820-0,36,9.811135638950212E-6
1821-0,36,0.03787104622871048
1822-0,36,0.0480377668308703
1823-0,36,0.012658503401360549
1824-0,36,0.03872426666666668
1825-0,36,0.02597045818044972
1826-0,36,0.022731729055258474
1827-0,36,0.032735207290463364
1828-0,36,0.02421768707482994
1829-0,36,0.0050597961313107
1830-0,36,0.012904378909740843
1831-0,36,0.035756513611403216
1832-0,36,0.032812265465851836
1833-0,36,0.04438397581254725
1834-0,36,0.017093269740328567
1835-0,36,0.046216630373417215
1836-0,36,2.7605244996549353E-6
1837-0,36,0.01776333838712007
1838-0,36,2.1369323773372703E-4
1839-0,36,0.003548587781510514
1840-0,36,3.6153289949385407E-6
1841-0,36,4.089979550102251E-6
1842-0,36,3.935458480913028E-6
1843-0,36,6.277933686726953E-4
1844-0,36,0.020498624789282233
1845-0,36,2.029426686960934E-6
1846-0,36,0.0403406391466093
1847-0,36,2.007125294796528E-6
1848-0,36,1.5410695022345503E-6
1849-0,36,0.0406182709732438
1850-0,36,4.071246819338424E-6
1851-0,36,0.02912870301219816
1852-0,36,0.01336302160646545
1853-0,36,0.06686883751760711
1854-0,36,0.0414286816323382
1855-0,36,0.03413311533483208
1856-0,36,0.03629986982157899
1857-0,36,0.023063979178015864
1858-0,36,0.018573211522140684
1859-0,36,2.6806058169146234E-6
1860-0,36,0.017885073915116838
1861-0,36,4.822182037371913E-6
1862-0,36,4.574042309891367E-6
1863-0,36,5.216484089723529E-6
1864-0,36,8.217687074829935E-4
1865-0,36,3.879352148191253E-6
1866-0,36,0.008583848089681998
1867-0,36,2.90486564996369E-6
1868-0,36,3.2881216605014394E-6
1869-0,36,0.022233513284640634
1870-0,36,0.021779788838612375
1871-0,36,0.02222716049382717
1872-0,36,0.03589334584408477
1873-0,36,3.2938076416337295E-6
1874-0,36,3.3695560609889658E-6
1875-0,36,0.026265319865319867
1876-0,36,0.032578115574858256
1877-0,36,0.034732989767719775
1878-0,36,0.00566100984705636
1879-0,36,0.040163460860987814
1880-0,36,0.03737395206045578
1881-0,36,0.028184441579173578
1882-0,36,0.03158994449885733
1883-0,36,0.0429160501134458
1884-0,36,0.016889127133029577
1885-0,36,0.046878498650879945
1886-0,36,0.0283364642037153
1887-0,36,6.187161639597838E-6
1888-0,36,0.06906876180035326
1889-0,36,0.006489959839357431
1890-0,36,2.7277686852154943E-6
1891-0,36,9.287001287001289E-4
1892-0,36,2.4229208310618457E-6
1893-0,36,0.032153239714215326
1894-0,36,0.028380380380380384
1895-0,36,0.03190161645454057
1896-0,36,0.02156582893784259
1897-0,36,0.048200351019306066
1898-0,36,0.05273204149540027
1899-0,36,0.06528205680634847
1900-0,36,0.056656770575622635
1901-0,36,1.6528242634601878E-6
1902-0,36,3.435540668212661E-6
1903-0,36,0.0350812472551603
1904-0,36,1.8653236336504387E-6
1905-0,36,1.3240648791790794E-6
1906-0,36,0.015352048505239543
1907-0,36,1.1988251513516747E-6
1908-0,36,1.6852039096730707E-6
1909-0,36,0.041640175074867544
1910-0,36,0.01390898748577928
1911-0,36,0.014717765287003911
1912-0,36,0.015418513047759708
1913-0,36,0.03904904904904907
1914-0,36,0.010673358427436223
1915-0,36,4.5320643553138475E-6
1916-0,36,0.03577274533174417
1917-0,36,9.44956295771321E-6
1918-0,36,0.03226468155500415
1919-0,36,6.734006734006737E-6
1920-0,36,1.2288786482334879E-5
1921-0,36,0.00884399551066218
1922-0,36,5.301524188204111E-6
1923-0,36,4.632846884410472E-6
1924-0,36,0.003094175534958234
1925-0,36,2.9768549527424285E-6
1926-0,36,0.007192331478045765
1927-0,36,3.5301385579384E-6
1928-0,36,0.005024639702463971
1929-0,36,0.010193913658881814
1930-0,36,4.947916666666669E-4
1931-0,36,5.081300813008132E-6
1932-0,36,0.0070878721859114055
1934-0,36,1.3661202185792362E-5
1935-0,36,0.003966578715919087
1936-0,36,8.585533376261007E-6
1937-0,36,1.1299435028248598E-5
1938-0,36,0.011693766937669381
1939-0,36,8.369951872776737E-6
1940-0,36,1.0085728693898143E-5
1941-0,36,9.905894006934133E-6
1942-0,36,9.409550693954368E-6
1943-0,36,7.211105101856863E-6
1944-0,36,8.492569002123148E-6
1945-0,36,0.0017339484813533263
1946-0,36,1.0198358064351634E-6
1947-0,36,4.921865386981668E-6
1948-0,36,5.915409642117718E-6
1949-0,36,8.830022075055193E-6
1950-0,36,6.12745098039216E-6
1951-0,36,8.245722531436823E-6
1952-0,36,6.124636349716738E-6
1953-0,36,0.008239890191109706
1953-1,36,3.3019646689780427E-6
1954-0,36,4.701457451810063E-6
1955-0,36,3.7654146662901266E-6
1956-0,36,3.3661533282841043E-6
1957-0,36,6.948063227375373E-6
1958-0,36,5.973715651135009E-6
1959-0,36,4.4561712107886274E-4
1960-0,36,5.165956347668864E-6
1961-0,36,4.286520022560633E-4
1961-1,36,4.24223141372362E-6
1962-0,36,0.006754415569805379
1963-0,36,5.6116722783389474E-6
1964-0,36,1.003260596940056E-5
1965-0,36,7.176175098672411E-6
1966-0,36,5.865962751136533E-6
1967-0,36,4.658746797111579E-6
1968-0,36,6.507239303725397E-6
1969-0,36,0.03510742395235058
1970-0,36,7.432181345224828E-6
1971-0,36,0.001108053568152633
1972-0,36,8.46023688663283E-6
1973-0,36,1.9295706705258092E-5
1974-0,36,6.603929337956087E-6
1975-0,36,7.1149057274991146E-6
1976-0,36,6.006006006006009E-6
1977-0,36,0.0048002556727388965
1978-0,36,6.944444444444448E-6
1979-0,36,8.888888888888895E-6
1980-0,36,8.726003490401403E-6
1981-0,36,6.9013112491373395E-6
1981-1,36,0.0031925100588053204
1982-0,36,5.762028233938349E-6
1983-0,36,5.372011818426003E-6
1984-0,36,5.94441967602913E-6
1985-0,36,6.768189509306264E-6
1986-0,36,8.250825082508255E-6
1987-0,36,8.406893652795297E-6
1988-0,36,6.250976715111739E-6
1989-0,36,6.379585326953751E-6
1990-0,36,8.333333333333339E-6
1991-0,36,7.847753580537576E-6
1992-0,36,6.488240064882404E-6
1993-0,36,7.342572331631415E-4
1994-0,36,4.333225002708267E-6
1995-0,36,3.748477181145161E-6
1996-0,36,5.0371489736808986E-6
1997-0,36,4.6200046200046215E-6
1998-0,36,4.223418857565201E-6
1999-0,36,4.082465809348848E-6
2000-0,36,3.499562554680666E-6
2001-0,36,6.851661527920525E-6
2002-0,36,7.3827980804725034E-6
2003-0,36,5.424464334147005E-6
2004-0,36,5.553241704845206E-6
2005-0,36,5.717552887364211E-6
2006-0,36,5.451076587626058E-6
2007-0,36,5.460005460005463E-6
2008-0,36,5.020080321285142E-6
2009-0,36,5.299417064122949E-6
2010-0,36,4.2127435492364414E-6
2011-0,36,4.575611988103411E-6
2012-0,36,4.219409282700424E-6
2013-0,36,4.357298474945535E-6
1790-0,37,3.0303030303030336E-5
1790-1,37,0.0830504305043051
1791-0,37,0.049354191736863263
1792-0,37,0.05145135566188204
1793-0,37,0.041738374619730595
1794-0,37,0.04816279736314132
1795-0,37,0.06364145658263308
1796-0,37,0.04058608058608061
1797-0,37,0.060905542544886844
1798-0,37,1.4814814814814827E-5
1799-0,37,0.03817700052994175
1800-0,37,0.014157832744405198
1801-0,37,0.02913700107874867
1802-0,37,0.040369903320723016
1803-0,37,0.022715426649852894
1804-0,37,0.07569892473118285
1805-0,37,0.10911932672076953
1806-0,37,0.08177298592392937
1807-0,37,0.04576615831517795
1808-0,37,0.03493048819915942
1809-0,37,1.902044698050406E-5
1810-0,37,1.3306719893546248E-5
1811-0,37,0.040962643678160944
1812-0,37,0.06045396582504466
1813-0,37,0.10626475759859337
1814-0,37,0.15714178825289948
1815-0,37,0.046187231895029046
1816-0,37,9.620009620009626E-6
1817-0,37,7.716049382716055E-6
1818-0,37,7.66283524904215E-6
1819-0,37,7.4239049740163365E-6
1820-0,37,9.811135638950212E-6
1821-0,37,4.6228710462287127E-4
1822-0,37,8.21018062397373E-6
1823-0,37,0.007760544217687077
1824-0,37,4.2666666666666685E-6
1825-0,37,3.763289114686237E-6
1826-0,37,0.0016755793226381468
1827-0,37,0.014252342446412533
1828-0,37,0.013148852761443565
1829-0,37,0.014691387751825992
1830-0,37,2.2341376228775696E-6
1831-0,37,0.005262296997312772
1832-0,37,0.01383510239090812
1833-0,37,9.761364863405682E-4
1834-0,37,0.012919978802331747
1835-0,37,3.2260666182756683E-6
1836-0,37,0.02443340234644583
1837-0,37,0.00801674969316295
