instance,topic,distribution
1948-0,90,0.0079902395740905
1949-0,90,6.622516556291394E-6
1950-0,90,9.237132352941178E-4
1951-0,90,6.184291898577616E-6
1952-0,90,4.593477262287551E-6
1953-0,90,3.167564143173889E-6
1953-1,90,2.4764735017335244E-6
1954-0,90,3.5260930888575403E-6
1955-0,90,2.8240609997175854E-6
1956-0,90,2.52461499621307E-6
1957-0,90,5.211047420531529E-6
1958-0,90,4.480286738351251E-6
1959-0,90,4.397537379067719E-6
1960-0,90,0.01240216970166601
1961-0,90,0.008887478849407777
1961-1,90,3.1816735602927094E-6
1962-0,90,3.376097231600265E-6
1963-0,90,4.208754208754206E-6
1964-0,90,7.5244544770504176E-6
1965-0,90,5.382131324004308E-6
1966-0,90,4.399472063352398E-6
1967-0,90,3.494060097833677E-6
1968-0,90,0.00586139580283065
1969-0,90,6.381620931716659E-6
1970-0,90,5.574136008918621E-6
1971-0,90,5.503577325261423E-6
1972-0,90,6.3451776649746225E-6
1972-1,90,1.3012361743656447E-6
1974-0,90,4.952947003467065E-6
1974-1,90,9.510223490252007E-7
1975-0,90,5.336179295624335E-6
1976-0,90,4.504504504504505E-6
1977-0,90,4.793863854266539E-6
1978-0,90,5.208333333333336E-6
1978-1,90,1.572574304135868E-6
1979-0,90,6.66666666666667E-6
1979-1,90,9.25840199981482E-7
1980-0,90,6.54450261780105E-6
1980-1,90,5.90911776871713E-7
1981-0,90,5.175983436853004E-6
1981-1,90,5.803156917363044E-7
1982-0,90,4.319654427645788E-6
1983-0,90,4.029008863819499E-6
1984-0,90,4.458314757021846E-6
1985-0,90,5.076142131979698E-6
1986-0,90,6.188118811881192E-6
1987-0,90,6.3051702395964725E-6
1988-0,90,4.688232536333804E-6
1989-0,90,4.7846889952153125E-6
1990-0,90,6.250000000000003E-6
1991-0,90,5.885815185403181E-6
1992-0,90,4.866180048661802E-6
1993-0,90,3.646973012399707E-6
1994-0,90,3.2499187520311973E-6
1995-0,90,2.811357885858865E-6
1996-0,90,3.7778617302606724E-6
1997-0,90,0.002428967428967428
1998-0,90,3.1675641431738976E-6
1999-0,90,3.0618493570116343E-6
2000-0,90,2.6246719160104954E-6
2001-0,90,5.1387461459403925E-6
2002-0,90,5.537098560354376E-6
2003-0,90,4.0683482506102525E-6
2004-0,90,4.164931278633902E-6
2005-0,90,4.288164665523158E-6
2006-0,90,4.088307440719544E-6
2007-0,90,4.095004095004097E-6
2008-0,90,3.7650602409638544E-6
2009-0,90,3.97456279809221E-6
2010-0,90,3.164556962025312E-6
2011-0,90,3.431708991077556E-6
2012-0,90,3.164556962025312E-6
2013-0,90,3.2679738562091493E-6
2014-0,90,3.1357792411414194E-6
2015-0,90,3.3715441672285897E-6
2016-0,90,3.932363350373573E-6
/E:/DEV/clojure/DataAnalysis/cljs-visual/datas/topic-dists.csv,90,9.803921568627418E-5
1790-0,91,2.2727272727272763E-5
1790-1,91,1.8450184501845044E-5
1791-0,91,1.2033694344163669E-5
1792-0,91,1.1961722488038286E-5
1793-0,91,1.3037809647979151E-5
1794-0,91,8.59845227858986E-6
1795-0,91,1.2004801920768317E-5
1796-0,91,8.453085376162307E-6
1797-0,91,1.1709601873536312E-5
1798-0,91,1.1111111111111122E-5
1799-0,91,1.5898251192368856E-5
1800-0,91,1.766784452296822E-5
1801-0,91,8.090614886731396E-6
1802-0,91,1.261034047919295E-5
1803-0,91,1.2610340479192952E-5
1804-0,91,1.240694789081887E-5
1805-0,91,9.017132551848517E-6
1806-0,91,8.984725965858047E-6
1807-0,91,1.0893246187363842E-5
1808-0,91,9.69932104752668E-6
1809-0,91,1.4265335235378048E-5
1810-0,91,9.980039920159688E-6
1811-0,91,1.0775862068965525E-5
1812-0,91,7.65110941086458E-6
1813-0,91,7.5357950263752876E-6
1814-0,91,1.12233445566779E-5
1815-0,91,7.5700227100681344E-6
1816-0,91,7.215007215007218E-6
1817-0,91,5.787037037037039E-6
1818-0,91,5.7471264367816125E-6
1819-0,91,5.567928730512252E-6
1820-0,91,7.358351729212661E-6
1821-0,91,4.562043795620434E-6
1822-0,91,6.1576354679802985E-6
1823-0,91,4.08163265306122E-6
1824-0,91,3.1999999999999956E-6
1825-0,91,2.8224668360146702E-6
1826-0,91,3.3422459893048097E-6
1827-0,91,3.850596842510585E-6
1828-0,91,3.459010722933238E-6
1829-0,91,2.407897905128817E-6
1830-0,91,1.6756032171581724E-6
1831-0,91,3.5050823694356786E-6
1832-0,91,3.2164683177870624E-6
1833-0,91,3.239390994493028E-6
1834-0,91,1.9872813990460985E-6
1835-0,91,2.419549963706743E-6
1836-0,91,2.0703933747411953E-6
1837-0,91,2.165908598657129E-6
1838-0,91,2.108814846056509E-6
1839-0,91,1.8663680477790163E-6
1840-0,91,2.711496746203898E-6
1841-0,91,3.0674846625766794E-6
1842-0,91,2.9515938606847618E-6
1843-0,91,3.1181789834736436E-6
1844-0,91,2.6616981634282608E-6
1845-0,91,1.522070015220696E-6
1846-0,91,1.3446282102998489E-6
1847-0,91,1.5053439710973924E-6
1848-0,91,1.1558021266759106E-6
1849-0,91,3.197953309881668E-6
1850-0,91,3.05343511450381E-6
1851-0,91,1.8670649738610856E-6
1852-0,91,2.4740227610093964E-6
1853-0,91,2.4857071836937552E-6
1854-0,91,2.314279102059702E-6
1855-0,91,2.043735949315341E-6
1856-0,91,2.297266253158732E-6
1857-0,91,1.8158707100054417E-6
1858-0,91,1.4976785981728281E-6
1859-0,91,6.051467631684739E-4
1860-0,91,1.788268955650924E-6
1861-0,91,3.616636528028927E-6
1862-0,91,3.4305317324185147E-6
1863-0,91,3.9123630672926405E-6
1864-0,91,4.08163265306122E-6
1865-0,91,2.9095141111434314E-6
1866-0,91,3.4317089910775524E-6
1867-0,91,2.178649237472761E-6
1868-0,91,2.4660912453760707E-6
1869-0,91,3.175611305176239E-6
1870-0,91,2.8280542986425267E-6
1871-0,91,3.7037037037037E-6
1872-0,91,2.345765892563916E-6
1873-0,91,2.4703557312252897E-6
1874-0,91,2.527167045741717E-6
1875-0,91,2.0202020202020143E-6
1876-0,91,3.6192544335866766E-6
1877-0,91,2.24064530584808E-6
1878-0,91,3.1426775612822087E-6
1879-0,91,2.113718030014791E-6
1880-0,91,1.7711654268508637E-6
1881-0,91,1.8603794437281216E-4
1882-0,91,2.448579823702246E-6
1883-0,91,2.959455460195316E-6
1884-0,91,2.6802465826855995E-6
1885-0,91,1.2081672103419089E-6
1886-0,91,1.5654351909830898E-6
1887-0,91,4.640371229698365E-6
1888-0,91,1.8271514708569292E-6
1889-0,91,1.8535681186283546E-6
1890-0,91,2.0458265139116144E-6
1891-0,91,1.5444015444015407E-6
1892-0,91,1.8171906232963793E-6
1893-0,91,5.561714708056157E-4
1894-0,91,1.5015015015014983E-6
1895-0,91,1.6110842597067784E-6
1896-0,91,1.551349674216565E-6
1897-0,91,2.025111381125957E-6
1898-0,91,1.1743981209630046E-6
1899-0,91,1.0772379618657744E-6
1900-0,91,1.2370113805046984E-6
1901-0,91,1.2396181975951385E-6
1902-0,91,2.5766555011594896E-6
1903-0,91,1.6469038208168607E-6
1904-0,91,1.3989927252378261E-6
